,PS ratio,PB ratio,EBITDA to EV,PE ratio,Dividend Yield,Price to Cashflow
EQM,0.0,0.0,0.13327518889954904,0.0,0.18192722910835663,1.0691266241516897e-07
CQP,0.0,0.0,0.07166002659826434,0.0,0.055999999999999994,1.2694362017804153e-07
TCP,0.0,0.0,0.09010890953009568,0.0,0.06570634318928481,3.304201680672269e-07
CEQP,0.0,0.0,-0.01552718863161286,0.0,0.07604562737642585,3.602285714285714e-07
WES,0.0,0.0,0.0775297691704225,0.0,0.12554347826086956,5.6200171359695623e-08
DCP,0.0,0.0,0.09461253122316242,0.0,0.13465688390159689,2.5153846153846156e-07
MPLX,0.0,0.0,0.07833399426349205,0.0,0.10879533138807837,1.552665799739922e-08
EPD,0.0,0.0,0.0819212329057824,0.0,0.06698656429942419,1.5630603705917512e-08
ET,0.0,0.0,0.11321339809280068,0.0,0.10192147034252297,0.0
ENLC,0.0,0.0,0.14883566954504024,0.0,0.20145454545454547,2.12890625e-08
ENBL,0.0,0.0,0.12217593724611964,0.0,0.13107142857142856,3.6692015209125477e-08
